"","Age","Weight","Height","Gender"
"239",26,90.9,183,1
"240",43,89.1,179.1,1
"241",30,62.3,170.2,1
"242",26,82.7,177.8,1
"243",51,79.1,179.1,1
"244",30,98.2,190.5,1
"245",24,84.1,177.8,1
"246",35,83.2,180.3,1
"247",37,83.2,180.3,1
"248",22,51.6,161.2,0
"249",20,59,167.5,0
"250",19,49.2,159.5,0
"251",25,63,157,0
"252",21,53.6,155.8,0
"253",23,59,170,0
"254",26,47.6,159.1,0
"255",22,69.8,166,0
"256",28,66.8,176.2,0
"257",40,75.2,160.2,0
"258",32,55.2,172.5,0
"259",25,54.2,170.9,0
"260",25,62.5,172.9,0
"261",29,42,153.4,0
"262",22,50,160,0
"263",25,49.8,147.2,0
"264",23,49.2,168.2,0
"265",37,73.2,175,0
"266",19,47.8,157,0
"267",23,68.8,167.6,0
"268",25,50.6,159.5,0
"269",26,82.5,175,0
"270",24,57.2,166.8,0
"271",29,87.8,176.5,0
"272",22,72.8,170.2,0
"273",30,54.5,174,0
"274",23,59.8,173,0
"275",38,67.3,179.9,0
"276",23,67.8,170.5,0
"277",19,47,160,0
"278",46,46.2,154.4,0
"279",20,55,162,0
"280",22,83,176.5,0
"281",25,54.4,160,0
"282",21,45.8,152,0
"283",23,53.6,162.1,0
"284",31,73.2,170,0
"285",29,52.1,160.2,0
"286",19,67.9,161.3,0
"287",21,56.6,166.4,0
"288",23,62.3,168.9,0
"289",24,58.5,163.8,0
"290",20,54.5,167.6,0
"291",19,50.2,160,0
"292",20,60.3,161.3,0
"293",19,58.3,167.6,0
"294",20,56.2,165.1,0
"295",19,50.2,160,0
"296",22,72.9,170,0
"297",39,59.8,157.5,0
"298",18,61,167.6,0
"299",19,69.1,160.7,0
"300",26,55.9,163.2,0
"301",20,46.5,152.4,0
"302",20,54.3,157.5,0
"303",26,54.8,168.3,0
"304",21,60.7,180.3,0
"305",21,60,165.5,0
"306",38,62,165,0
"307",23,60.3,164.5,0
"308",37,52.7,156,0
"309",19,74.3,160,0
"310",25,62,163,0
"311",20,73.1,165.7,0
"312",41,80,161,0
"313",26,54.7,162,0
"314",21,53.2,166,0
"315",47,75.7,174,0
"316",19,61.1,172.7,0
"317",44,55.7,167.6,0
"318",35,48.7,151.1,0
"319",32,52.3,164.5,0
"320",46,50,163.5,0
"321",22,59.3,152,0
"322",49,62.5,169,0
"323",52,55.7,164,0
"324",25,54.8,161.2,0
"325",48,45.9,155,0
"326",41,70.6,170,0
"327",18,67.2,176.2,0
"328",30,69.4,170,0
"329",20,58.2,162.5,0
"330",24,64.8,170.3,0
"331",23,71.6,164.1,0
"332",30,52.8,169.5,0
"333",23,59.8,163.2,0
"334",45,49,154.5,0
"335",20,50,159.8,0
"336",20,69.2,173.2,0
"337",23,55.9,170,0
"338",21,63.4,161.4,0
"339",28,58.2,169,0
"340",45,58.6,166.2,0
"341",24,45.7,159.4,0
"342",25,52.2,162.5,0
"343",19,48.6,159,0
"344",20,57.8,162.8,0
"345",29,55.6,159,0
"346",24,66.8,179.8,0
"347",24,59.4,162.9,0
"348",25,53.6,161,0
"349",31,73.2,151.1,0
"350",22,53.4,168.2,0
"351",20,69,168.9,0
"352",32,58.4,173.2,0
"353",25,56.2,171.8,0
"354",19,70.6,178,0
"355",23,59.8,164.3,0
"356",22,72,163,0
"357",20,65.2,168.5,0
"358",27,56.6,166.8,0
"359",34,105.2,172.7,0
"360",25,51.8,163.5,0
"361",26,63.4,169.4,0
"362",19,59,167.8,0
"363",26,47.6,159.5,0
"364",25,63,167.6,0
"365",20,55.2,161.2,0
"366",21,45,160,0
"367",18,54,163.2,0
"368",19,50.2,162.2,0
"369",27,60.2,161.3,0
"370",26,44.8,149.5,0
"371",36,58.8,157.5,0
"372",20,56.4,163.2,0
"373",28,62,172.7,0
"374",32,49.2,155,0
"375",32,67.2,156.5,0
"376",23,53.8,164,0
"377",20,54.4,160.9,0
"378",20,58,162.8,0
"379",20,59.8,167,0
"380",23,54.8,160,0
"381",20,43.2,160,0
"382",28,60.5,168.9,0
"383",23,46.4,158.2,0
"384",19,64.4,156,0
"385",28,48.8,160,0
"386",19,62.2,167.1,0
"387",29,55.5,158,0
"388",32,57.8,167.6,0
"389",20,54.6,156,0
"390",28,59.2,162.1,0
"391",36,52.7,173.4,0
"392",22,53.2,159.8,0
"393",20,64.5,170.5,0
"394",22,51.8,159.2,0
"395",32,56,157.5,0
"396",40,63.6,161.3,0
"397",40,63.2,162.6,0
"398",42,59.5,160,0
"399",40,56.8,168.9,0
"400",44,64.1,165.1,0
"401",30,50,162.6,0
"402",28,72.3,165.1,0
"403",37,55,166.4,0
"404",40,55.9,160,0
"405",45,60.4,152.4,0
"406",35,69.1,170.2,0
"407",41,84.5,162.6,0
"408",27,55.9,170.2,0
"409",20,55.5,158.8,0
"410",24,69.5,172.7,0
"411",36,76.4,167.6,0
"412",27,61.4,162.6,0
"413",32,65.9,167.6,0
"414",64,58.6,156.2,0
"415",21,66.8,175.2,0
"416",32,56.6,172.1,0
"417",35,58.6,162.6,0
"418",41,55.9,160,0
"419",40,59.1,165.1,0
"420",29,81.8,182.9,0
"421",40,70.7,166.4,0
"422",24,56.8,165.1,0
"423",23,60,177.8,0
"424",41,58.2,165.1,0
"425",44,72.7,175.3,0
"426",53,54.1,154.9,0
"427",19,49.1,158.8,0
"428",24,75.9,172.7,0
"429",25,55,168.9,0
"430",20,57.3,161.3,0
"431",34,55,167.6,0
"432",32,65.5,165.1,0
"433",24,65.5,175.3,0
"434",29,48.6,157.5,0
"435",31,58.6,163.8,0
"436",34,63.6,167.6,0
"437",36,55.2,165.1,0
"438",32,62.7,165.1,0
"439",39,56.6,168.9,0
"440",37,53.9,162.6,0
"441",52,63.2,164.5,0
"442",24,73.6,176.5,0
"443",33,62,168.9,0
"444",42,63.6,175.3,0
"445",34,53.2,159.4,0
"446",37,53.4,160,0
"447",39,55,170.2,0
"448",41,70.5,162.6,0
"449",36,54.5,167.6,0
"450",19,54.5,162.6,0
"451",22,55.9,160.7,0
"452",23,59,160,0
"453",36,63.6,157.5,0
"454",45,54.5,162.6,0
"455",25,47.3,152.4,0
"456",67,67.7,170.2,0
"457",26,80.9,165.1,0
"458",21,70.5,172.7,0
"459",33,60.9,165.1,0
"460",25,63.6,170.2,0
"461",24,54.5,170.2,0
"462",21,59.1,170.2,0
"463",35,70.5,161.3,0
"464",27,52.7,167.6,0
"465",27,62.7,167.6,0
"466",26,86.3,165.1,0
"467",25,66.4,162.6,0
"468",44,67.3,152.4,0
"469",29,63,168.9,0
"470",26,73.6,170.2,0
"471",23,62.3,175.2,0
"472",32,57.7,175.2,0
"473",32,55.4,160,0
"474",43,104.1,165.1,0
"475",32,55.5,174,0
"476",41,77.3,170.2,0
"477",33,80.5,160,0
"478",28,64.5,167.6,0
"479",28,72.3,167.6,0
"480",25,61.4,167.6,0
"481",38,58.2,154.9,0
"482",37,81.8,162.6,0
"483",25,63.6,175.3,0
"484",37,53.4,171.4,0
"485",27,54.5,157.5,0
"486",27,53.6,165.1,0
"487",20,60,160,0
"488",19,73.6,174,0
"489",32,61.4,162.6,0
"490",26,55.5,174,0
"491",56,63.6,162.6,0
"492",23,60.9,161.3,0
"493",19,60,156.2,0
"494",31,46.8,149.9,0
"495",34,57.3,169.5,0
"496",34,64.1,160,0
"497",24,63.6,175.3,0
"498",22,67.3,169.5,0
"499",34,75.5,160,0
"500",30,68.2,172.7,0
"501",32,61.4,162.6,0
"502",40,76.8,157.5,0
"503",29,71.8,176.5,0
"504",21,55.5,164.4,0
"505",33,48.6,160.7,0
"506",33,66.4,174,0
"507",38,67.3,163.8,0
